"13eb -- Vapaarahoitteisten vuokra-asuntojen keskineliövuokrat postinumeroalueittain, 2015Q1-2024Q2"

"Huoneluku","Vuosineljännes","Neliövuokra (eur/m2) 00100 Helsinki Keskusta - Etu-Töölö   (Helsinki )","Neliövuokra (eur/m2) 00120 Punavuori   (Helsinki )","Neliövuokra (eur/m2) 00130 Kaartinkaupunki   (Helsinki )","Neliövuokra (eur/m2) 00140 Kaivopuisto - Ullanlinna   (Helsinki )","Neliövuokra (eur/m2) 00150 Eira - Hernesaari   (Helsinki )","Neliövuokra (eur/m2) 00160 Katajanokka   (Helsinki )","Neliövuokra (eur/m2) 00170 Kruununhaka   (Helsinki )","Neliövuokra (eur/m2) 00180 Kamppi - Ruoholahti   (Helsinki )","Neliövuokra (eur/m2) 00200 Lauttasaari   (Helsinki )","Neliövuokra (eur/m2) 00210 Vattuniemi   (Helsinki )","Neliövuokra (eur/m2) 00220 Jätkäsaari   (Helsinki )","Neliövuokra (eur/m2) 00240 Länsi-Pasila   (Helsinki )","Neliövuokra (eur/m2) 00250 Taka-Töölö   (Helsinki )","Neliövuokra (eur/m2) 00260 Keski-Töölö   (Helsinki )","Neliövuokra (eur/m2) 00270 Pohjois-Meilahti   (Helsinki )","Neliövuokra (eur/m2) 00280 Ruskeasuo   (Helsinki )","Neliövuokra (eur/m2) 00300 Pikku Huopalahti   (Helsinki )","Neliövuokra (eur/m2) 00310 Kivihaka   (Helsinki )","Neliövuokra (eur/m2) 00320 Etelä-Haaga   (Helsinki )","Neliövuokra (eur/m2) 00330 Munkkiniemi   (Helsinki )","Neliövuokra (eur/m2) 00340 Kuusisaari-Lehtisaari   (Helsinki )","Neliövuokra (eur/m2) 00350 Munkkivuori-Niemenmäki   (Helsinki )","Neliövuokra (eur/m2) 00360 Pajamäki   (Helsinki )","Neliövuokra (eur/m2) 00370 Reimarla   (Helsinki )","Neliövuokra (eur/m2) 00380 Pitäjänmäen teollisuusalue   (Helsinki )","Neliövuokra (eur/m2) 00390 Konala   (Helsinki )","Neliövuokra (eur/m2) 00400 Pohjois-Haaga   (Helsinki )","Neliövuokra (eur/m2) 00410 Malminkartano   (Helsinki )","Neliövuokra (eur/m2) 00420 Kannelmäki   (Helsinki )","Neliövuokra (eur/m2) 00430 Maununneva   (Helsinki )","Neliövuokra (eur/m2) 00440 Lassila   (Helsinki )","Neliövuokra (eur/m2) 00500 Sörnäinen   (Helsinki )","Neliövuokra (eur/m2) 00510 Etu-Vallila - Alppila   (Helsinki )","Neliövuokra (eur/m2) 00520 Itä-Pasila   (Helsinki )","Neliövuokra (eur/m2) 00530 Kallio   (Helsinki )","Neliövuokra (eur/m2) 00550 Vallila   (Helsinki )","Neliövuokra (eur/m2) 00560 Toukola-Vanhakaupunki   (Helsinki )","Neliövuokra (eur/m2) 00570 Kulosaari   (Helsinki )","Neliövuokra (eur/m2) 00580 Verkkosaari   (Helsinki )","Neliövuokra (eur/m2) 00600 Koskela-Helsinki   (Helsinki )","Neliövuokra (eur/m2) 00610 Käpylä   (Helsinki )","Neliövuokra (eur/m2) 00620 Metsälä-Etelä-Oulunkylä   (Helsinki )","Neliövuokra (eur/m2) 00630 Maunula-Suursuo   (Helsinki )","Neliövuokra (eur/m2) 00640 Oulunkylä-Patola   (Helsinki )","Neliövuokra (eur/m2) 00650 Veräjämäki   (Helsinki )","Neliövuokra (eur/m2) 00700 Malmi   (Helsinki )","Neliövuokra (eur/m2) 00710 Pihlajamäki   (Helsinki )","Neliövuokra (eur/m2) 00720 Pukinmäki-Savela   (Helsinki )","Neliövuokra (eur/m2) 00730 Tapanila   (Helsinki )","Neliövuokra (eur/m2) 00740 Siltamäki   (Helsinki )","Neliövuokra (eur/m2) 00750 Puistola   (Helsinki )","Neliövuokra (eur/m2) 00760 Suurmetsä   (Helsinki )","Neliövuokra (eur/m2) 00770 Jakomäki - Alppikylä   (Helsinki )","Neliövuokra (eur/m2) 00780 Tapaninvainio   (Helsinki )","Neliövuokra (eur/m2) 00790 Viikki   (Helsinki )","Neliövuokra (eur/m2) 00800 Länsi-Herttoniemi   (Helsinki )","Neliövuokra (eur/m2) 00810 Herttoniemi   (Helsinki )","Neliövuokra (eur/m2) 00820 Roihuvuori   (Helsinki )","Neliövuokra (eur/m2) 00840 Laajasalo   (Helsinki )","Neliövuokra (eur/m2) 00870 Etelä-Laajasalo   (Helsinki )","Neliövuokra (eur/m2) 00900 Puotinharju   (Helsinki )","Neliövuokra (eur/m2) 00910 Puotila   (Helsinki )","Neliövuokra (eur/m2) 00920 Myllypuro   (Helsinki )","Neliövuokra (eur/m2) 00930 Itäkeskus-Marjaniemi   (Helsinki )","Neliövuokra (eur/m2) 00940 Kontula - Vesala   (Helsinki )","Neliövuokra (eur/m2) 00950 Vartioharju   (Helsinki )","Neliövuokra (eur/m2) 00960 Pohjois-Vuosaari   (Helsinki )","Neliövuokra (eur/m2) 00970 Mellunmäki   (Helsinki )","Neliövuokra (eur/m2) 00980 Etelä-Vuosaari   (Helsinki )","Neliövuokra (eur/m2) 00990 Aurinkolahti   (Helsinki )"
"Kolmiot+","2018Q1",20.08,.,.,.,25.53,.,.,15.82,17.33,19.92,.,.,17.39,.,16.11,.,.,.,15.04,18.20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20.33,15.59,.,.,17.31,.,16.03,.,.,.,15.33,.,14.77,.,.,.,.,.,.,.,17.38,.,14.04,.,16.32,.,15.96,.,15.65,.,12.84,13.49,.,18.75
"Kolmiot+","2018Q2",20.22,.,.,.,25.53,.,.,15.83,17.83,19.11,.,.,17.50,.,.,.,.,.,15.14,18.30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.69,.,.,16.89,.,15.98,.,.,.,15.25,16.57,14.43,.,.,.,.,.,.,.,17.37,.,14.32,.,16.41,.,15.88,.,15.59,.,13.20,13.49,16.56,18.69
"Kolmiot+","2018Q3",20.41,.,.,.,25.83,.,.,15.83,18.15,19.64,.,.,17.74,.,.,.,.,.,15.36,17.90,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.92,.,.,.,.,.,.,.,16.53,.,.,.,15.26,.,.,.,.,.,.,.,16.13,.,.,.,14.29,.,16.63,.,16.04,.,15.50,.,13.31,13.98,.,18.84
"Kolmiot+","2018Q4",22.44,.,.,.,26.08,.,.,15.85,18.10,.,.,.,19.04,.,.,.,.,.,16.73,19.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.62,.,.,.,.,16.54,.,.,.,15.75,.,.,.,.,.,.,.,.,.,.,.,15.18,.,16.79,.,16.47,.,15.44,.,13.81,14.64,.,18.81
"Kolmiot+","2019Q1",21.06,.,.,.,25.96,.,17.87,15.99,17.95,20.36,.,.,17.61,.,15.65,.,.,.,16.37,18.80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.66,.,.,.,.,17.09,.,.,.,15.62,.,.,.,.,.,.,.,.,.,.,.,13.82,.,16.39,.,16.08,.,15.55,.,13.69,13.89,.,.
"Kolmiot+","2019Q2",21.43,.,.,.,25.32,.,.,15.85,17.85,20.21,.,.,17.69,.,14.52,.,.,.,17.12,18.87,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.11,.,.,.,.,17.03,.,.,.,15.64,16.75,.,.,.,.,.,.,.,.,.,.,13.67,.,16.24,.,16.31,.,15.89,.,13.98,13.85,.,.
"Kolmiot+","2019Q3",21.32,.,.,.,26.18,.,.,15.90,18.15,21.10,.,.,17.81,.,14.72,.,.,.,17.39,18.76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.59,.,.,.,.,.,.,.,.,15.68,15.93,.,.,.,.,.,.,.,.,.,.,13.84,.,16.21,.,16.42,.,15.92,.,14.32,13.52,.,.
"Kolmiot+","2019Q4",22.33,.,.,.,26.03,.,.,16.07,18.64,21.59,.,.,18.91,.,.,.,.,.,17.94,18.97,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15.90,16.64,.,.,.,.,.,.,.,.,.,.,15.40,.,16.78,.,16.71,.,15.97,.,14.08,15.23,.,.
"Kolmiot+","2020Q1",22.19,.,.,.,.,.,.,15.97,18.49,20.90,.,.,19.05,.,.,.,.,.,17.62,19.24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.78,.,.,.,.,.,.,.,.,16.04,16.39,.,.,.,.,.,.,.,.,.,.,15.58,.,.,.,16.75,.,16.08,.,.,15.34,.,.
"Kolmiot+","2020Q2",21.62,18.18,.,17.08,.,.,.,15.94,18.59,20.70,.,.,19.56,.,.,.,.,.,.,19.37,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.19,16.34,14.87,.,.,.,.,.,.,.,.,.,15.40,.,17.28,.,16.85,.,16.20,.,.,15.35,.,.
"Kolmiot+","2020Q3",21.40,18.34,.,.,25.99,.,.,15.93,18.49,20.46,.,.,19.84,.,17.94,.,.,.,.,19.34,.,.,.,.,.,.,.,.,.,.,.,.,18.95,.,.,.,.,16.77,.,.,.,.,16.67,.,.,.,16.19,16.26,.,.,.,.,.,.,17.99,.,.,.,15.38,.,16.90,.,16.94,.,16.37,.,16.72,15.82,.,.
"Kolmiot+","2020Q4",21.41,16.97,.,.,25.83,.,.,16.05,18.92,21.07,.,.,19.61,.,.,.,.,.,.,19.12,.,.,.,.,.,.,.,.,.,.,.,.,18.65,.,.,.,.,16.23,.,.,.,.,.,.,.,.,16.03,16.33,.,.,.,.,.,.,17.97,.,.,.,15.44,.,17.11,.,17.00,.,16.65,.,16.78,15.75,.,.
"Kolmiot+","2021Q1",21.03,19.29,.,.,25.90,.,.,16.15,19.06,21.04,.,.,19.68,.,.,.,.,.,16.76,18.86,.,.,.,16.72,.,.,.,.,.,.,.,.,18.88,.,.,.,.,16.60,.,.,.,.,.,16.48,.,.,16.27,16.46,.,.,.,.,.,.,17.94,.,.,.,15.72,.,16.58,.,17.05,.,16.78,.,16.77,15.84,.,.
"Kolmiot+","2021Q2",21.09,18.94,.,.,25.91,.,.,16.11,19.12,21.27,.,.,19.72,.,18.13,.,.,.,.,18.90,.,.,.,16.84,.,.,.,.,.,.,.,.,18.85,.,.,.,.,16.81,.,.,.,.,.,.,.,.,.,16.20,.,.,.,.,14.28,.,18.28,.,.,.,15.64,.,18.79,.,16.94,.,16.81,.,16.84,15.93,.,.
"Kolmiot+","2021Q3",22.40,19.11,.,.,26.06,.,.,16.25,19.39,22.07,.,.,19.36,.,17.99,.,.,.,.,18.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.73,.,.,.,.,.,.,.,.,.,16.11,.,.,.,.,14.36,.,18.27,.,.,.,.,.,18.34,.,17.14,.,16.97,.,17.15,15.89,.,.
"Kolmiot+","2021Q4",21.77,19.42,.,.,25.23,.,.,16.24,19.80,.,.,.,19.55,.,.,.,.,.,.,19.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.53,.,.,.,.,.,.,.,.,.,16.23,.,.,.,.,14.43,.,18.30,.,.,.,15.84,.,18.11,.,17.00,.,17.00,.,.,15.74,.,.
"Kolmiot+","2022Q1",22.29,19.67,.,.,25.24,.,19.43,16.32,19.17,22.29,.,.,19.68,.,17.06,.,.,.,.,19.02,.,.,.,.,.,.,.,.,.,.,.,.,18.58,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.16,.,.,.,.,14.97,.,18.33,.,.,.,15.71,.,17.99,.,16.96,.,16.86,.,.,16.19,.,.
"Kolmiot+","2022Q2",22.25,20.48,.,.,24.90,.,.,17.33,19.25,21.46,.,.,20.41,.,17.68,.,.,.,.,19.32,.,.,.,.,.,.,.,.,.,.,.,.,18.65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.16,.,.,.,.,15.02,.,18.30,.,.,.,15.84,.,18.16,.,17.14,.,.,.,16.93,16.77,.,.
"Kolmiot+","2022Q3",23.28,20.47,.,.,25.51,.,.,17.56,19.27,21.16,.,.,20.60,.,17.25,.,.,.,.,19.82,.,.,.,.,.,.,.,.,.,.,.,.,18.79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.14,.,.,.,.,15.33,.,18.46,.,.,.,.,.,17.82,.,16.99,.,.,.,16.88,16.96,.,.
"Kolmiot+","2022Q4",.,21.05,.,.,25.22,.,.,17.50,19.24,21.64,.,.,20.05,.,16.35,.,.,.,.,19.76,.,.,.,16.73,.,.,.,.,.,.,.,.,18.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.15,.,.,.,.,15.27,.,18.65,.,.,.,.,.,17.72,.,17.06,.,.,.,16.65,17.00,.,.
"Kolmiot+","2023Q1",23.24,21.20,.,.,25.78,.,.,17.44,19.52,21.72,.,.,19.86,.,17.00,.,.,.,.,19.66,.,.,.,.,.,.,.,.,.,.,.,.,19.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.31,.,.,.,.,15.30,.,18.53,.,.,.,.,.,17.38,.,17.36,.,.,.,16.82,17.09,.,.
"Kolmiot+","2023Q2",22.90,21.90,.,.,25.91,.,.,17.54,19.77,21.82,.,.,19.90,.,.,.,.,.,17.34,19.82,.,.,.,.,.,.,.,.,.,.,.,.,18.70,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.35,.,.,.,.,15.31,.,18.55,.,.,.,.,.,17.48,.,17.17,.,.,.,16.97,17.27,.,.
"Kolmiot+","2023Q3",.,.,.,.,25.25,.,.,17.15,19.84,22.22,.,.,19.70,.,.,.,.,.,17.56,19.97,.,.,.,.,.,.,.,.,.,.,.,.,18.57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.32,.,.,.,.,15.38,.,18.66,.,.,.,.,.,17.69,.,17.20,.,.,.,17.05,17.33,.,.
"Kolmiot+","2023Q4",.,.,.,.,24.92,.,.,20.48,20.00,22.62,.,.,19.94,.,.,.,.,.,17.61,19.71,.,.,.,16.88,.,.,.,.,.,.,.,.,18.93,.,.,.,.,16.51,.,.,.,.,.,.,.,.,.,15.17,.,.,.,.,15.41,.,18.67,.,.,.,.,.,17.48,.,17.28,.,.,.,17.20,17.40,.,.
"Kolmiot+","2024Q1",.,21.82,.,.,25.19,.,.,20.99,20.21,22.14,.,.,20.11,.,.,.,.,.,18.06,19.62,.,.,.,16.78,.,.,.,.,.,.,.,.,19.10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.22,.,.,.,.,15.42,.,18.83,.,.,.,.,.,17.22,.,17.54,.,.,.,17.44,17.56,.,.
"Kolmiot+","2024Q2",.,21.72,.,.,25.34,.,.,21.51,20.31,22.20,.,.,20.35,.,16.82,.,.,.,17.97,20.16,.,.,.,.,.,.,.,.,.,.,.,.,19.17,.,.,.,.,.,.,.,.,.,.,16.26,.,.,.,.,.,.,.,.,15.43,.,19.18,.,.,.,.,.,17.28,.,17.52,.,.,.,17.68,17.75,.,.
