Address,info_a,info_b,price,size
"Itämerenkatu 12 C, Ruoholahti, Helsinki","
				Kerrostalo, 1993
			","
				2h+avok+kph+las.p (YJ:n mukaan 2h+k)
			","
369 000 €


","

369 000 €




59,5 m²



"
"Seljatie 2 A, Etelä-Haaga, Helsinki","
				Kerrostalo, 1961
			","
				2h, kk, kph, las. parv.
			","
205 000 €


","

205 000 €




38 m²



"
"Suvilahdenkatu 9 D, Sörnäinen, Helsinki","
				Kerrostalo, 1995
			","
				2h, k, kph, vh, parveke
			","
290 000 €


","

290 000 €




55,5 m²



"
"Naapuripellontie 5, Malminkartano, Helsinki","
				Kerrostalo, 1984
			","
				2h+k+kph+vh+lasitettu parveke
			","
125 000 €


","

125 000 €




60 m²



"
"Hämeentie 38 D, Kallio, Helsinki","
				Kerrostalo, 1935
			","
				2h+k+kph
			","
249 000 €


","

249 000 €




47 m²



"
"Mannerheimintie 146 A, Meilahti, Helsinki","
				Kerrostalo, 1945
			","
				3h, k, kph.
			","
449 000 €


","

449 000 €




70 m²



"
"Ahjokuja 2 A, Etelä-Haaga, Helsinki","
				Kerrostalo, 1961
			","
				2h, avok, kph, vh, et, lasit.parveke  
			","
269 000 €


","

269 000 €




46,5 m²



"
"Venemestarintie 19 G, Vuosaari, Helsinki","
				Rivitalo, 1980
			","
				3h, k, rt, s, kph, erill wc, vh, piha
			","
345 000 €


","

345 000 €




78 m²



"
"Palomäentie 3 D, Landbo, Helsinki","
				Paritalo, 2020
			","
				3h,avok, s, kph, erill. wc, terasssi
			","
369 000 €


","

369 000 €




77,1 m²



"
"Tyynelänkuja 2 D, Tapaninvainio, Helsinki","
				Kerrostalo, 1979
			","
				3h+k+s
			","
185 000 €


","

185 000 €




76,5 m²



"
"Larin Kyöstin polku 2 B, Oulunkylä, Helsinki","
				Kerrostalo, 2022
			","
				3h+avok+kph+vh (yhtiöjärj. mukaan 3h+kt+vh)
			","
378 000 €


","

378 000 €




65,5 m²



"
"Franzéninkatu 22 B, Kallio, Helsinki","
				Kerrostalo, 1938
			","
				2h, avok, kph, et, vh
			","
328 000 €


","

328 000 €




49 m²



"
"Bertha Pauligin katu 2a B 52, Aurinkolahti, Helsinki","
				Kerrostalo, 2023
			","
				2h, kt, kph, lasitettu parveke
			","
275 700 €


","

275 700 €




40,5 m²



"
"Laajasuontie 12 A, Etelä-Haaga, Helsinki","
				Kerrostalo, 1961
			","
				3h+k (yhtiöjärjestyksen mukaan 3 h+k)
			","
329 000 €


","

329 000 €




61 m²



"
"Lauttasaarentie 52 B, Lauttasaari, Helsinki","
				Kerrostalo, 2017
			","
				2h,avok,kph,las.p
			","
359 000 €


","

359 000 €




39 m²



"
"Ylä-Fallin tie 5, Torpparinmäki, Helsinki","
				Rivitalo, 1989
			","
				3h, k, s, kph/wc, erill.wc
			","
248 000 €


","

248 000 €




78,5 m²



"
"Umpiaidanpolku 8, Laajasalo, Helsinki","
				Kerrostalo, 1981
			","
				3h, k, rt, kph, s, erillinen wc, lasitettu parveke
			","
259 000 €


","

259 000 €




72,5 m²



"
"Sauramatie 4, Vartiokylä, Helsinki","
				Kerrostalo, 1965
			","
				3h,k,kph, lasitettu parveke
			","
234 000 €


","

234 000 €




63,5 m²



"
"Larin Kyöstin polku 4 A 20, Oulunkylä, Helsinki","
				Kerrostalo, 2024
			","
				3H+KT+S
			","
487 500 €


				Hoitovastike 371,3 €/kk
			
","

487 500 €


				Hoitovastike 371,3 €/kk
			


75 m²

				6 500 €/m²
			


3/4

				Kerros
			

"
"Gyldénintie 2 A, Lauttasaari, Helsinki","
				Kerrostalo, 2023
			","
				3h+k+kph+erill. wc+iso lasit. parveke
			","
619 000 €


","

619 000 €




65,5 m²



"
"Kaustisentie 9, Kannelmäki, Helsinki","
				Kerrostalo, 2005
			","
				2h, k, kph, lasit. parveke
			","
224 000 €


","

224 000 €




46,5 m²



"
"Kivalterintie 21, Oulunkylä, Helsinki","
				Kerrostalo, 1955
			","
				2h, avok, kph, parveke
			","
203 000 €


","

203 000 €




44 m²



"
"Döbelninkatu 5, Töölö, Helsinki","
				Kerrostalo, 1927
			","
				2 h, keittiö/ruokailutila, halli, kph, vh
			","
595 000 €


","

595 000 €




86 m²



"
"Kalevankatu 45, Kamppi, Helsinki","
				Kerrostalo, 1895
			","
				2h, avok, eteinen, kph/wc
			","
360 000 €


","

360 000 €




40,5 m²



"
"Mesenaatintie 4, Talinranta, Helsinki","
				Kerrostalo, 1992
			","
				3h+k+kph+vh+lasitettu parveke
			","
249 000 €


","

249 000 €




75 m²



"
"Pääskylänrinne 4 B, Sörnäinen, Helsinki","
				Kerrostalo, 1938
			","
				2h+halli+kk
			","
225 000 €


","

225 000 €




51 m²



"
"Nallitie 8 c, Kivikko, Helsinki","
				Kerrostalo, 2001
			","
				2h+k+s+las.terassi
			","
188 000 €


","

188 000 €




59,5 m²



"
"Keinulaudantie 5 C, Kontula, Helsinki","
				Kerrostalo, 1966
			","
				3h+k+kh+wc+2xparv
			","
169 000 €


","

169 000 €




75 m²



"
"Risto Rytin kuja 2 A, Kulosaari, Helsinki","
				Kerrostalo, 1997
			","
				2h+k+s+vh+lasitettu parveke
			","
399 000 €


","

399 000 €




59 m²



"
"Tehtaankatu 6, Ullanlinna, Helsinki","
				Kerrostalo, 1933
			","
				1-2h, avok, kph, ranskal.parveke
			","
528 000 €


","

528 000 €




51 m²



"
"Jussaarenkuja 5 F, Laajasalo, Helsinki","
				Kerrostalo, 1965
			",,"
177 000 €


","

177 000 €




51,5 m²



"
"Laivanvarustajankatu 8a A, Ullanlinna, Helsinki","
				Kerrostalo, 1927
			","
				2h, k
			","
352 000 €


","

352 000 €




37 m²



"
"Lauttasaarentie 52 A, Lauttasaari, Helsinki","
				Kerrostalo, 2017
			","
				2h,avokeittiö, kph,sauna, ranskalainen parveke
			","
380 000 €


","

380 000 €




59,5 m²



"
"Aurinkotuulenkatu 16 C, Vuosaari, Helsinki","
				Kerrostalo, 2013
			","
				3H, avok, sauna, vh, lasi. parv.
			","
369 000 €


","

369 000 €




61 m²



"
"Runeberginkatu 40, Töölö, Helsinki","
				Kerrostalo, 1933
			","
				3h, kk, kph, wc, vh, eteinen
			","
350 000 €


","

350 000 €




69 m²



"
"Kumpulanportti 3 I, Kumpula, Helsinki","
				Luhtitalo, 1988
			","
				3h + k
			","
298 000 €


","

298 000 €




74,5 m²



"
"Eerikinkatu 15-17 D, Kamppi, Helsinki","
				Kerrostalo, 1927
			","
				2h, avok ,s, työtila, terassi
			","
750 000 €


","

750 000 €




76 m²



"
"Rynnästie 9 C, Hevossalmi, Helsinki","
				Rivitalo, 1989
			","
				3-4h+k+kph+khh+2wc+s+vh+terassi
			","
349 000 €


","

349 000 €




92,5 m²



"
"Varhelantie 5 B, Mellunmäki, Helsinki","
				Kerrostalo, 1987
			","
				3 h, k, kph, s, terassi
			","
188 000 €


","

188 000 €




76 m²



"
"Kaksostentie 3 D, Suutarila, Helsinki","
				Kerrostalo, 1969
			","
				2h + kk + kph + parveke
			","
118 900 €


","

118 900 €




41,5 m²



"
"Runeberginkatu 32, Etu-Töölö, Helsinki","
				Kerrostalo, 1928
			","
				2h+k+alkovi+kph
			","
569 000 €


","

569 000 €




73 m²



"
"Käärtipolku 6, Konala, Helsinki","
				Kerrostalo, 1962
			","
				2h+kt+kph+las.parveke
			","
169 000 €


","

169 000 €




43,5 m²



"
"Strömsinlahdenkuja 1 D, Roihuvuori, Helsinki","
				Kerrostalo, 1992
			","
				2h+kk
			","
187 000 €


","

187 000 €




45 m²



"
"Riihitie 11 B, Munkkiniemi, Helsinki","
				Kerrostalo, 1988
			","
				3h, k, kph, s, p + AT (yj:n mukaan 3h+k+s)
			","
445 000 €


","

445 000 €




82 m²



"
"Meripuistotie 5, Lauttasaari, Helsinki","
				Kerrostalo, 1955
			","
				3H, K, KPH, PARV
			","
510 000 €


","

510 000 €




83 m²



"
"Orioninkatu 2 B, Hermanni, Helsinki","
				Kerrostalo, 1957
			","
				2h+kk+kph+p
			","
274 000 €


","

274 000 €




44,5 m²



"
"Pietarinkatu 13, Ullanlinna, Helsinki","
				Kerrostalo, 1931
			","
				3h, avok, kph, wc, vh
			","
585 000 €


","

585 000 €




67,5 m²



"
"Kenttätie 10 C, Pukinmäki, Helsinki","
				Kerrostalo, 1972
			","
				2h + kk
			","
132 000 €


","

132 000 €




48 m²



"
"Strömbergintie 8 E, Pitäjänmäki, Helsinki","
				Kerrostalo, 2001
			","
				2h, avok, vh, kph, parveke (yj: 2h+kk)
			","
198 000 €


","

198 000 €




47,5 m²



"
"Suovatie 14 A, Länsi-Pakila, Helsinki","
				Omakotitalo, 1956
			","
				3 h, k, kph/2wc, sauna, lämmin kuisti, 3vsto yms.
			","
368 000 €


","

368 000 €




80 m²



"
"Hämeentie 58-60 D, Sörnäinen, Helsinki","
				Kerrostalo, 1986
			","
				2h, avok, kph, las.parveke
			","
268 000 €


","

268 000 €




57 m²



"
"Atlantinkatu 18, Länsisatama, Helsinki","
				Kerrostalo, 2019
			","
				3h + s + p
			","
420 761 €


","

420 761 €




67 m²



"
"Kivikonkaari 38, Mellunkylä, Helsinki","
				Kerrostalo, 2014
			","
				3h+k
			","
50 385 €


","

50 385 €




80,5 m²



"
"Kauppalantie 13 A, Etelä-Haaga, Helsinki","
				Kerrostalo, 1963
			","
				2h+k+las.parv.
			","
259 000 €


","

259 000 €




45 m²



"
"Laivanvarustajankatu 8, Ullanlinna, Helsinki","
				Kerrostalo, 1935
			","
				2h, avok, kph
			","
570 000 €


","

570 000 €




68 m²



"
"Yllästunturinkuja 1 I, Mellunmäki, Helsinki","
				Kerrostalo, 1975
			","
				2h, k, kph, vh, lasitettu parveke
			","
162 000 €


","

162 000 €




55,5 m²



"
"Solvikinkatu 19 A, Aurinkolahti, Helsinki","
				Kerrostalo, 2006
			","
				3h+k+s
			","
425 000 €


","

425 000 €




81,5 m²



"
"Flöitti Dianan kuja 3 G, Sompasaari, Helsinki","
				Kerrostalo, 2021
			","
				3h+avok+kph+wc+las.parveke (YJ:n mukaan 3h+kt)
			","
769 000 €


","

769 000 €




78,5 m²



"
"Jääkärinkatu 6a A, Ullanlinna, Helsinki","
				Kerrostalo, 1937
			","
				1h+iso avokeittiö+kph (YJ: 2h+kk+kph)
			","
342 000 €


","

342 000 €




60 m²



"
"Rahakamarinkatu 2 E, Länsi-Pasila, Helsinki","
				Kerrostalo, 1987
			","
				2h, avok., kph ja lasitettu parveke (yj:n muk. 2H+K)
			","
248 000 €


","

248 000 €




52,5 m²



"
"Kuusitie 10, Meilahti, Helsinki","
				Kerrostalo, 1946
			","
				3h, avok, kph, alkovi
			","
425 000 €


","

425 000 €




58 m²



"
"Hämeentie 27 B, Sörnäinen, Helsinki","
				Kerrostalo, 1929
			","
				2h+avok+kph (yj. 1h+k+kph)
			","
272 000 €


","

272 000 €




42,5 m²



"
"Mellunmäentie 20 A, Mellunmäki, Helsinki","
				Kerrostalo, 2006
			","
				2h, kk, kph, s, vh, p
			","
209 000 €


","

209 000 €




51,5 m²



"
"Klaavuntie 12 G, Puotila, Helsinki","
				Kerrostalo, 1961
			","
				2h, k, kph, vh, parveke
			","
189 000 €


","

189 000 €




56 m²



"
"Luistarinkuja 6 B, Vesala, Helsinki","
				Kerrostalo, 1991
			","
				2h,k,kph,las.parv.
			","
114 500 €


","

114 500 €




55,5 m²



"
"Mechelininkatu 44, Taka-Töölö, Helsinki","
				Kerrostalo, 1939
			","
				3-4h, k, et., kph, er. wc, parveke
			","
475 000 €


","

475 000 €




95 m²



"
"Rapakivenkuja 1, Pihlajamäki, Helsinki","
				Kerrostalo, 1964
			","
				2h, k, kph, las. parveke
			","
174 000 €


","

174 000 €




60 m²



"
"Laitatuulenkaari 3 A, Jollas, Helsinki","
				Rivitalo, 1983
			","
				3h+k+s
			","
283 000 €


","

283 000 €




83,5 m²



"
"Koskelantie 7, Käpylä, Helsinki","
				Kerrostalo, 1952
			","
				2-3h,k,khwc,p
			","
325 000 €


","

325 000 €




66 m²



"
"Siilitie 4 D, Herttoniemi, Helsinki","
				Kerrostalo, 1956
			","
				1h+k+mh+kph+terassi
			","
249 000 €


","

249 000 €




50 m²



"
"Lyypekinaukio 6 D 63, Itäkeskus, Helsinki","
				Kerrostalo, 2001
			","
				3h + kk + s + p
			","
232 000 €


","

232 000 €




61 m²



"
"Soittajantie 3, Kannelmäki, Helsinki","
				Kerrostalo, 1969
			","
				3h + p
			","
216 000 €


","

216 000 €




60 m²



"
"Tasankotie 5 A, Tapanila, Helsinki","
				Kerrostalo, 2004
			","
				3h+kk+s (yhtiöjärjestyksen mukaan 3H+KK+S)
			","
258 000 €


","

258 000 €




69,5 m²



"
"Kaarenjalka 3 E, Kontula, Helsinki","
				Kerrostalo, 1968
			","
				3h, k, kph, eril.wc ja parveke (yj. 3 h+k)
			","
240 000 €


","

240 000 €




76 m²



"
"Kruunaajanpolku 3 B, Tapulikaupunki, Helsinki","
				Kerrostalo, 1983
			","
				3h+k+kph+lasitp
			","
123 000 €


","

123 000 €




72 m²



"
"Hiekkalaiturintie 4, Vuosaari, Helsinki","
				Kerrostalo, 1996
			","
				2H+K+S
			","
21 201 €


","

21 201 €




53,5 m²



"
"Palkkatilankatu 8, Länsi-Pasila, Helsinki","
				Kerrostalo, 1981
			","
				3h, k, kph, s, wc, lasitettu parveke
			","
309 000 €


","

309 000 €




75 m²



"
"Satamasaarentie 1 D, Vuosaari, Helsinki","
				Kerrostalo, 1966
			","
				2h+k+las.parveke
			","
188 000 €


","

188 000 €




79 m²



"
